"UCeOLGwRBrv13KQvIBm7bJtA, The thumbnail was like: Shaq: Help! This possessed camera is attacking me! Player in Shaq&#39;s team: It&#39;s not attacking you, you are just leaning it towards yourself slowly to make it look like it&#39;s attacking you. (Shaq laughs hysterically)"
"UCX82bSY8cGolSERmnmRVJ1A, When a guy&#39;s funniest moment takes 25 mins long. That&#39;s Shaq"
"UCv6NQpCKtYEB_6VzhEY_Pmg, Shaq is super funny"
"UCHBTxg3LN6_FS4VZoGC8iyA, lmfaoo thats my dad to me when I come home at 3 in the morning"
"UCq7woFOh_gUS4YMOlwhyUNg, Shaq is the man!!"
"UC6xNtZst4zwNqivh5xtdRfA, minus the kobe bashing, shaqs my dude...what a character....one of a kind!"
"UC_7TMpqafx7y9ctry7i0_4w, That&#39;s why i love SHAQ"
"UCVPcy2KMgZnM4jjO7TWw2ag, He is like the representative for the human race if we ever have contact with aliens."
"UCXmZzR2i2kxZixU10JkZqrw, I can’t wait until one day I hopefully get drafted"
"UCO_1fSMgW-JZ4s-6y6rH7aw, We all need more Shaq kobe and MJ these days"
"UCBgkKb6VM6i9nU7LD8YmDzA, I would love to meet him!!🤗"
"UCLjbLXT8hwF3QDx9wHXRL7A, When he was rubbing that guys beard I absolutely died😂 But that damn music😒"
"UCWbH8tUSKoxnJABzm8XqfJA, LSU love shaq University.....he just makes me laugh"
"UCiX2NifQNxP3OqNLIFiyXvg, that first back of the head slap lmao i felt lmaoooooo"
"UCnUgFheV8WLWty1an2dYikw, that smile :(((( RIP BM"
"UCke3tBii1uLqzbtVT6F0wwg, A nice guy !!!😂🤣🤚🏻🇦🇷"
"UClp-ygn0oUim7QwpNFT9I4w, He is a total nut i could not stop laughing"
"UCoaqNzPp0SH3enD9MptciKA, he is crazy just like me hahahaha lol"
"UC9ZLbyVBt31oC9oQwjuXh6w, Shaq&#39;s dancing is the best part"
"UCErTx2MVcKPoQSu5MboPuSw, How can anyone not love Shaq"
"UCGVs2DWUg8bf5NdpzPMuPPQ, Shaq personality larger then life"
"UCgkinY1zoTiZUNoTNNrTgkw, I love Shaq"
"UCzGTz9n8VMJ-_KVzLfkHCrg, He&#39;s so funny, his playmates never would get bored, he&#39;s too much."
"UCjmnh15qYDGfxRIK01w9DEA, I’d be a happy camper also if I was as rich as Shaq!"
"UCmceSBGhmnas_HQPOGxBqRg, omg what a lovely guy"
"UCiJokMVq-kbAM_040Hw_HTg, big goof ball, full of love"
"UCoxNQyrSrgTHn1fURcwDm2A, just how big is that guy that shot was hilarious"
"UC87A8MQIRMQgnYbum7OTxdw, Шак всегда был веселчаком и заводилой!!!"
"UCg6O6GnM2G5-M0G85xYNKAg, I love this man"
"UCaNu0lufbAXBTLUGoTD61kQ, Damn. Imagine having to look out for the propeller when you get out of a helicopter."
"UC0sbGamSuRfdLdTaRGme5MQ, hahaha legend"
"UCJokZoFd21177CBsfiVzGOQ, GREAT VIDEO 🤣👍THANKING YOU"
"UCni61-Q6z-9gx_8vrB2JaKg, In the top 10 greatest"
"UCUTsqK8cu4_-kepD994-LQg, Lol😂😂😂 i like Shaq on cam and off cam"
"UCK2R8MFMFulTjfHKEcSJ5pg, Shaq twerks better than me"
"UCpzjXDuTHjwdciJWybf6szA, Love Shaq"
"UCLVeMhwtx7TOmjG2d-apzqg, Legend.. ty to exist :)   RIP KOBE :&#39;("
"UCQ6SgDDfzEF2C5AjUD7cR0A, Con Razon Aparese en la Pelicula de Scary movie 😂😂😂😂"
"UCVMRTKwvuqPUhupKc8u7rJw, made me laugh when i realized the hatchback shaq got out of @   was a whole ass suburban"
"UCB1KheQ1CMGYJEUF4hUAjqg, The one an only!!!"
"UCE6SWlhSXf034OdqCtX_x7g, No matter where u go with Shaq,u gana have the most fun with him,He&#39;s like a kid stuck in a mans body."
"UCnFSFOJUWnCFzT2RmpJD50g, that music matched up perfectly lol"
"UCXyTA1c7K55J3i7ohuM7IWw, Cali in the Building, Shaq is a BIG KID and I love it have fun Big Fella💯💯💯🍻"
"UC3XW1hK-ryeWHydh7TZ4PtQ, love this guy"
"UCzlDG7dgsgv2QB-rw0KGGGw, Lol That&#39;s Funny 😁  Shaq🤣😆"
"UCe0fpRhgGIw6NOjm11p_UpA, MY FUNNIEST MOMENTS 2 MINUTES..............SHAQ 25 MINS. WE ARE ALL JUST MINIONS LIVING IN SHAQS WORLD"
"UCmVPF_XBTPG1Q6GoRJ0P_2A, I love this guy"
"UCIJHBPfFeGHsxkYNHP4YL8Q, he looked like a titan running"
"UCYX_eMtH8GM-UubewTL_Dxg, He probably got annoying sometimes but most of the time was a joy to be around"
"UC1rCY7AOKaw4BzeEF8yeswg, why is he always jumping into the damn crowd lmao"
"UCdH4VfbqoeELMB_ZR6RKm9Q, Tho he&#39;s funny AF, but he&#39;s gonna crush you on the court."
"UCUfrzgjZP9yHj46ApakPIJg, still waiting for chacuille o&#39;neal to ball"
"UCpEEGmmNUu7ro1xeFaRw89w, RIP Kobe Bryant"
"UCVLs2KW-pib8A7buZ-f2B1w, I know NBA from the beginning and when someone says baseball I think Shak."
"UC-3eoX00Q2L94GmGFykd3OA, gooffy, hahahaha!🤣🤣🤣🤣🤣🤣🤣"
"UCON0cF3fmIe_ZG4Hvy479sA, Joel Embiid comes from behind"
"UCq2OA9k9fAf0aO-5WmttG4Q, Great human being."
"UCYCiaFYtySKMvKv3JvKIWsg, cnt help but to smile and laugh"
